name,num_cameras,num_points,num_observations,time,initial_error,final_error,iterations,success,max_cpu,avg_cpu,max_ram_gb,avg_ram_gb
Final-93-61203,93,61203,287451,8.203256368637085,5646906.567847496,146084.15793489272,5,True,5.6,5.0,2.7961463928222656,2.7883338928222656
Final-394-100368,394,100368,534408,147.42391872406006,4545733.113214592,300191.6638629893,16,True,5.0,4.333333333333333,4.92340087890625,4.923232396443685
Final-871-527480,871,527480,2785977,814.1699602603912,104618123.09047888,1814949.1489854548,19,True,4.1,4.0200000000000005,13.332782745361328,13.189837646484374
Final-3068-310854,3068,310854,1653812,3431.969775915146,90474612.13004085,4174526.538693204,20,True,4.0,4.0,12.884635925292969,12.884529113769531
