name,num_cameras,num_points,num_observations,time,initial_error,final_error,iterations,success,max_cpu,avg_cpu,max_ram_gb,avg_ram_gb
alamo,877,99351,1116388,383.78561997413635,15809842098.123215,8049080513.387788,12,True,4.7,4.183333333333334,8.173603057861328,8.107428868611654
montreal_notre_dame,571,93987,887724,95.21449279785156,2525445643.4654922,2497278210.8006253,3,True,4.3,4.15,8.170623779296875,8.170623779296875
roman_forum,1490,182050,1468509,306.6141562461853,5879209101.113963,4296048741.024919,7,True,4.2,3.983333333333333,8.194389343261719,8.194389343261719
picaddilly,2994,229448,2052807,4328.956037282944,39399755242.998764,20919051060.811947,19,True,4.1,3.925,15.750999450683594,15.750273704528809
trafalgar,2,216,432,0.003608226776123047,3565882.7167025497,3565882.7167025497,1,True,3.9,3.9,15.50960922241211,15.50960922241211
